symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ONB,2024-03-07 05:00:00+00:00,16.95,16.99,16.69,16.76,1583993.0,18087.0,16.799469
PASG,2024-03-07 05:00:00+00:00,1.72,1.72,1.45,1.6,360563.0,1363.0,1.571865
OPK,2024-03-07 05:00:00+00:00,0.9558,0.984,0.941,0.9513,6659451.0,9474.0,0.964161
REAL,2024-03-07 05:00:00+00:00,3.63,4.015,3.63,3.9,5553559.0,20332.0,3.847726
NEWTI,2024-03-07 05:00:00+00:00,25.05,25.05,24.925,24.9697,6339.0,55.0,24.969269
PLUS,2024-03-07 05:00:00+00:00,80.32,80.92,79.85,79.99,164469.0,4286.0,80.388826
LMFA,2024-03-07 05:00:00+00:00,0.464,0.52,0.46,0.479,247414.0,586.0,0.4799
OLLI,2024-03-07 05:00:00+00:00,74.81,75.93,74.35,75.28,525228.0,12102.0,74.953918
PLL,2024-03-07 05:00:00+00:00,14.24,14.68,13.965,14.3,475367.0,8298.0,14.247831
RLMD,2024-03-07 05:00:00+00:00,6.42,6.63,6.16,6.37,138889.0,1750.0,6.35172
MAYS,2024-03-07 05:00:00+00:00,44.0,44.0,44.0,44.0,210.0,8.0,44.027381
OSS,2024-03-07 05:00:00+00:00,3.81,3.85,3.52,3.6,111382.0,616.0,3.677724
ROP,2024-03-07 05:00:00+00:00,545.14,549.14,543.29,546.32,299471.0,12918.0,545.915273
MDXG,2024-03-07 05:00:00+00:00,8.07,8.24,8.06,8.15,558216.0,7086.0,8.167295
MTC,2024-03-07 05:00:00+00:00,2.14,2.14,1.8,1.95,323850.0,2660.0,1.955915
RDFN,2024-03-07 05:00:00+00:00,6.54,6.666,6.34,6.48,3205927.0,19052.0,6.498072
LNTH,2024-03-07 05:00:00+00:00,61.96,63.1099,61.41,62.59,840218.0,16528.0,62.393869
LZ,2024-03-07 05:00:00+00:00,13.31,13.49,13.31,13.44,973749.0,12555.0,13.417214
PAA,2024-03-07 05:00:00+00:00,16.75,16.85,16.71,16.83,3153447.0,11223.0,16.772516
PRCT,2024-03-07 05:00:00+00:00,47.51,49.33,47.39,49.28,391048.0,7849.0,48.6811
RCON,2024-03-07 05:00:00+00:00,0.1536,0.1559,0.1483,0.1488,128320.0,278.0,0.150516
LLYVK,2024-03-07 05:00:00+00:00,40.5,40.8375,40.22,40.53,357783.0,3778.0,40.545229
LUNR,2024-03-07 05:00:00+00:00,4.68,5.13,4.46,5.12,6405526.0,36540.0,4.750104
MESA,2024-03-07 05:00:00+00:00,0.86,0.8879,0.86,0.87,259273.0,447.0,0.868379
MGRX,2024-03-07 05:00:00+00:00,0.2092,0.2196,0.2,0.2135,299683.0,431.0,0.210737
OCCIO,2024-03-07 05:00:00+00:00,23.99,24.03,23.99,24.0157,2050.0,20.0,24.007004
OCCI,2024-03-07 05:00:00+00:00,7.1,7.24,6.98,7.03,94852.0,644.0,7.098111
ROOT,2024-03-07 05:00:00+00:00,44.62,45.49,41.0,44.5,701613.0,11305.0,43.289143
MIDD,2024-03-07 05:00:00+00:00,154.12,155.59,153.82,154.63,320649.0,5730.0,154.60702
MTEK,2024-03-07 05:00:00+00:00,1.36,1.36,1.29,1.3299,41489.0,120.0,1.315718
NDLS,2024-03-07 05:00:00+00:00,2.55,2.55,2.4,2.45,416060.0,3594.0,2.447365
NSIT,2024-03-07 05:00:00+00:00,187.17,187.98,184.62,187.0,224938.0,6850.0,186.757623
MBINP,2024-03-07 05:00:00+00:00,25.33,25.35,25.33,25.345,3021.0,14.0,25.337749
MRNS,2024-03-07 05:00:00+00:00,9.09,9.14,8.15,8.75,1120528.0,9453.0,8.714148
MSAIW,2024-03-07 05:00:00+00:00,0.065,0.1079,0.045,0.0825,458048.0,502.0,0.082156
PDLB,2024-03-07 05:00:00+00:00,9.0,9.085,8.91,8.92,45541.0,499.0,8.967659
PRLH,2024-03-07 05:00:00+00:00,10.75,10.75,10.75,10.75,100.0,1.0,10.75
QQQX,2024-03-07 05:00:00+00:00,23.91,24.025,23.91,24.0,260051.0,1300.0,23.960535
RELI,2024-03-07 05:00:00+00:00,0.44,0.445,0.3849,0.4,109100.0,492.0,0.408929
RELY,2024-03-07 05:00:00+00:00,20.86,21.0,20.5,20.7,1180153.0,14210.0,20.719877
MINM,2024-03-07 05:00:00+00:00,5.93,5.93,5.0,5.26,123380.0,1631.0,5.386639
NICK,2024-03-07 05:00:00+00:00,7.0,7.0,6.915,6.983,2191.0,55.0,6.95528
NYMT,2024-03-07 05:00:00+00:00,7.13,7.205,7.09,7.17,423949.0,4628.0,7.160813
LFST,2024-03-07 05:00:00+00:00,7.24,7.325,7.15,7.215,1079693.0,9900.0,7.228719
LNSR,2024-03-07 05:00:00+00:00,4.2,4.65,4.13,4.34,61891.0,366.0,4.399309
NDAQ,2024-03-07 05:00:00+00:00,58.3,59.21,58.15,59.13,3276981.0,40203.0,58.783225
MNRO,2024-03-07 05:00:00+00:00,32.07,32.51,32.05,32.35,311056.0,7224.0,32.264636
NYMTL,2024-03-07 05:00:00+00:00,19.3001,19.41,19.28,19.37,8259.0,104.0,19.345346
PROV,2024-03-07 05:00:00+00:00,14.32,14.32,14.0,14.07,3577.0,60.0,14.130119
